,Grant Amount,Award Date,Parent Company,Parent Headquarters State,Ownership Structure,CEO Pay,Award Type
376,685155,20200506,The Long Island Home,New York,privately held,$0,grant
377,684203,20200506,Brookhaven Rehabilitation And Health Care Center Llc,New York,privately held,$0,grant
378,683772,20200506,Arthritis Health Associates Pllc,New York,privately held,$0,grant
379,683087,20200506,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
380,679897,20200506,Emergency Ambulance Service Inc,New York,privately held,$0,grant
381,679601,20200506,Sbnh Acquisition Llc,New York,privately held,$0,grant
382,678022,20200506,Lenco Diagnostic Laboratories Inc,New York,privately held,$0,grant
383,677750,20200506,Grandell Rehab & Nursing Ctr Inc,New York,privately held,$0,grant
384,677745,20200506,Park Avenue Operating Company Llc,New York,privately held,$0,grant
385,677695,20200506,Hospice Care In Westchester And Putnam Inc,New York,privately held,$0,grant
386,673889,20200506,Nassau Operating Company Llc,New York,privately held,$0,grant
387,670400,20200506,Park Manor Acquisition Ii Llc,New York,privately held,$0,grant
388,665680,20200506,Clearview Operating Co. Llc,New York,privately held,$0,grant
389,664954,20200506,Stony Brook Radiology,New York,privately held,$0,grant
390,664462,20200506,Buffalo Wheelchair,New York,privately held,$0,grant
391,662668,20200506,Hudson Home Health Care Inc,New York,privately held,$0,grant
392,661542,20200506,Ghvhs Medical Group Pc,New York,privately held,$0,grant
393,660719,20200506,Hudson View Care Center Inc.,New York,privately held,$0,grant
394,653392,20200506,Smithtown Health Care Management,New York,privately held,$0,grant
395,648447,20200506,Centerlight Certified Home Health Agency,New York,privately held,$0,grant
396,647840,20200506,United Odd Fellow And Rebekah Home,New York,privately held,$0,grant
397,647086,20200506,Orthopedic Assoc Of Dutchess County P C,New York,privately held,$0,grant
398,646933,20200506,Community Memorial Hospital,New York,non-profit,$0,grant
399,643775,20200506,Bronx Center For Rehabilitation And Health Care,New York,privately held,$0,grant
400,637473,20200506,Elmhurst Care Center,New York,privately held,$0,grant
401,637174,20200506,Hospice Of Orange & Sullivan Counties,New York,privately held,$0,grant
402,636519,20200506,Sky View Rehabilitation Health Care,New York,privately held,$0,grant
403,636067,20200506,K & H Medical Pllc,New York,privately held,$0,grant
404,631849,20200506,Golden Hill Planning Corporation,New York,privately held,$0,grant
405,631375,20200506,Beechwood Health Care Center Inc,New York,privately held,$0,grant
406,629668,20200506,Brunswick Hospital Center Inc,New York,privately held,$0,grant
407,626636,20200506,Excelcare Medical Associates Pa,New York,privately held,$0,grant
408,623924,20200506,Bridgewater Center For Rehabilitation & Nursing Llc,New York,privately held,$0,grant
409,623346,20200506,Mid-Hudson Ophthalmological Retina Consultants,New York,privately held,$0,grant
410,620250,20200506,James M. Maisel Md Pllc,New York,privately held,$0,grant
411,619770,20200506,Broome Oncology Llc,New York,privately held,$0,grant
412,619768,20200506,Ramapo Manor Nursing Center Inc,New York,privately held,$0,grant
413,619685,20200506,Staten Island Care Center,New York,privately held,$0,grant
414,616535,20200506,Empress Ambulance Service Llc,New York,privately held,$0,grant
415,610462,20200506,Brooks - Tlc Hospital System,New York,privately held,$0,grant
416,609207,20200506,Ozone Acquisition,New York,privately held,$0,grant
417,608661,20200506,Montclair Care Center Inc,New York,privately held,$0,grant
418,604874,20200506,Sapphire Center For Rehabilitation And Nursing Of Central Queens Llc,New York,privately held,$0,grant
419,601187,20200506,Absolut Center For Nursing And Rehabilitation At Aurora Park,New York,non-profit,$0,grant
420,600363,20200506,Ozanam Hall Of Queens Nursing Home,New York,privately held,$0,grant
421,599993,20200506,Barnwell Operations Associates Llc,New York,privately held,$0,grant
422,597226,20200506,Stony Brook Surgical Associates University Faculty Practice Corporati,New York,privately held,$0,grant
423,595817,20200506,Bainbridge Nursing And Rehabilitation Center,New York,privately held,$0,grant
424,594906,20200506,Auburn Senior Services Inc,New York,privately held,$0,grant
425,593629,20200506,Ezras Choilim Health Center Inc,New York,privately held,$0,grant
426,586632,20200506,St. Patrick'S Home For The Aged And Infirm,New York,privately held,$0,grant
427,584125,20200506,Little Falls Hospital,New York,non-profit,$0,grant
428,579501,20200506,Wayne Center For Nursing And Rehabilitation,New York,privately held,$0,grant
429,579206,20200506,Park Terrace Care Center Inc,New York,privately held,$0,grant
430,578764,20200506,Autumn View Health Care Facility Llc,New York,privately held,$0,grant
431,577924,20200506,Meeting House Lane Medical Practice Pc,New York,privately held,$0,grant
432,577564,20200506,Northern Medical Group,New York,privately held,$0,grant
433,573705,20200506,Surge Rehabilitation And Nursing Llc,New York,privately held,$0,grant
434,572898,20200506,Newburgh Operations Llc,New York,privately held,$0,grant
435,569894,20200506,Cliffside Nursing Home Inc,New York,privately held,$0,grant
436,569812,20200506,St James Hospital,New York,non-profit,$0,grant
437,569460,20200506,Bay Park Center For Nursing And Rehabilitation,New York,privately held,$0,grant
438,562579,20200506,L&a Operations Llc,New York,privately held,$0,grant
439,561196,20200506,Amber Court At Home Llc,New York,privately held,$0,grant
440,558039,20200506,Sutton Park Center For Nursing & Rehabilitation Llc,New York,privately held,$0,grant
441,556280,20200506,Northern Manor Multicare Center Inc,New York,privately held,$0,grant
442,555003,20200506,Psychological Health Services Pc,New York,privately held,$0,grant
443,552056,20200506,Agma Inc.,New York,privately held,$0,grant
444,550688,20200506,Bronx Harbor Health Care Complex Inc,New York,privately held,$0,grant
445,547702,20200506,Hudson River Healthcare Inc,New York,privately held,$0,grant
446,545610,20200506,Fieldston Lodge Care Center,New York,privately held,$0,grant
447,544379,20200506,Chinatown Cardiology,New York,privately held,$0,grant
448,543280,20200506,Bassett Hospital Of Schoharie County,New York,non-profit,$0,grant
449,541637,20200506,Clr Schenectady Llc,New York,privately held,$0,grant
450,541239,20200506,Joseph P. Addabbo Family Health Center,New York,privately held,$0,grant
451,540164,20200506,Bridge View Nursing Home,New York,privately held,$0,grant
452,539564,20200506,Prospect Park Operating,New York,privately held,$0,grant
453,539499,20200506,Orthopaedic Associates Of Manhasset Pc,New York,privately held,$0,grant
454,539123,20200506,Vjj Holding Company Llc,New York,privately held,$0,grant
455,538555,20200506,Golden Gate Rehabilitation & Health Care Center Llc,New York,privately held,$0,grant
456,538247,20200506,Soldiers & Sailors Memorial Hospital,New York,privately held,$0,grant
457,533465,20200506,North Shore-Lij Anesthesiology Pc,New York,privately held,$0,grant
458,530769,20200506,Willoughby Rehabilitation And Health Care Center Llc,New York,privately held,$0,grant
459,528572,20200506,East Side Oncology Associates Pllc,New York,privately held,$0,grant
460,527767,20200506,Albany Troy Cataract & Laser Associates,New York,privately held,$0,grant
461,526833,20200506,Northeast Orthopedics And Sports Medicine Pllc,New York,privately held,$0,grant
462,520180,20200506,Buena Vida Corp,New York,privately held,$0,grant
463,516749,20200506,North Shore Cardiac Imaging Pc,New York,privately held,$0,grant
464,516247,20200506,Memorial Pathology Group,New York,privately held,$0,grant
465,514914,20200506,King Street Home Inc,New York,privately held,$0,grant
466,514559,20200506,Damian Family Care Centers,New York,privately held,$0,grant
467,514021,20200506,Kingston Nh Operation Llc,New York,privately held,$0,grant
468,511946,20200506,Forest View Nursing Home,New York,privately held,$0,grant
469,509129,20200506,Progressive Emergency Physicians Pllc,New York,privately held,$0,grant
470,501688,20200506,Union Plaza Nursing Home Inc,New York,privately held,$0,grant
471,501072,20200506,Crest Transportation Services,New York,privately held,$0,grant
472,500813,20200506,Central New York Cardiology,New York,privately held,$0,grant
473,331985,20200506,Northwell Health,New York,non-profit,$0,grant
474,202333,20200506,Whitney M. Young Health Center,New York,non-profit,$0,grant
475,0,20200511,Trinity Place Holdings Inc.,New York,publicly traded,"$2,145,954",loan
476,0,20200413,"Intellicheck, Inc.",New York,publicly traded,"$224,186",loan
477,0,20200410,"Infinite Group, Inc.",New York,publicly traded,"$228,976",loan
478,0,20200501,"Ideanomics, Inc.",New York,publicly traded,"$852,832",loan
479,0,20200417,"P&F Industries, Inc.",New York,publicly traded,"$1,676,354",loan
480,0,20200417,Trans World Entertainment Corporation,New York,publicly traded,"$1,528,718",loan
481,0,20200424,Travelzoo,New York,publicly traded,"$482,000",loan
482,0,20200415,"TSR, Inc.",New York,publicly traded,"$515,000",loan
483,0,20200419,Janel Corporation,New York,publicly traded,"$234,649",loan
484,0,20200409,Graham Corp.,New York,publicly traded,"$1,177,444",loan
485,0,20200415,National Holdings Corporation,New York,publicly traded,"$2,789,333",loan
486,0,20200427,"Repro Med Systems, Inc.",New York,publicly traded,"$1,800,185",loan
487,0,20200503,"Eyenovia, Inc.",New York,publicly traded,"$1,247,138",loan
488,0,20200413,Vaso Corporation,New York,publicly traded,"$407,476",loan
489,0,20200423,"Enzo Biochem, Inc.",New York,publicly traded,"$1,476,672",loan
490,0,20200511,Ipsidy Inc.,New York,publicly traded,"$437,917",loan
491,0,20200423,JetBlue Airways,New York,publicly traded,"$3,955,523",loan
492,0,20200415,Cinedigm Corp,New York,publicly traded,"$1,043,697",loan
493,0,20200414,"Scientific Industries, Inc.",New York,publicly traded,"$198,300",loan
494,0,20200423,"Xcel Brands, Inc.",New York,publicly traded,"$1,860,887",loan
495,0,20200421,Vuzix Corporation,New York,publicly traded,"$731,250",loan
496,0,20200421,"Servotronics, Inc.",New York,publicly traded,"$654,300",loan
497,0,20200501,"XpresSpa Group, Inc.",New York,publicly traded,"$250,000",loan
498,0,20200421,"AzurRx BioPharma, Inc.",New York,publicly traded,"$1,245,500",loan
499,0,20200417,Sono-Tek Corp.,New York,publicly traded,"$171,960",loan
500,0,20200501,Ark Restaurants Corp.,New York,publicly traded,"$1,144,156",loan
501,0,20200410,Lindblad Expeditions Holdings Inc.,New York,publicly traded,"$1,657,858",loan
502,0,20200412,"Frequency Electronics, Inc.",New York,publicly traded,"$522,475",loan
503,0,20200410,"CPI Aerostructures, Inc.",New York,publicly traded,"$798,637",loan
504,0,20200421,CVD Equipment Corporation,New York,publicly traded,"$347,843",loan
505,0,20200420,"Napco Security Technologies, Inc.",New York,publicly traded,"$1,153,903",loan
506,0,20200501,"22nd Century Group, Inc.",New York,publicly traded,"$1,007,291",loan
507,0,20200410,"MISONIX, Inc.",New York,publicly traded,"$541,307",loan
508,0,20200423,"Zedge, Inc.",New York,publicly traded,"$290,678",loan
