"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"All Care Plus","All Care Plus","20200506","grant","$746,445","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"All Care Visiting Nurse Association Of Greater Lynn","All Care Visiting Nurse Association Of Greater Lynn","20200506","grant","$802,742","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allay Home & Hospice Inc","Allay Home & Hospice Inc","20200506","grant","$799,777","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allegheny Clinic","Allegheny Clinic","20200506","grant","$4,038,476","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ALLEGIANCE SPECIALTY H","ALLEGIANCE SPECIALTY H","20200506","grant","$534,441","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Mississippi","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allegiant Air","Allegiant Air","20200420","grant","$86,000,000","$0","Treasury Department","Payroll Support Program","Allegiant announced it would receive a grant of $86 million from the Treasury Department as part of up to $171.9 million in total federal assistance.","https://www.sec.gov/ix?doc=/Archives/edgar/data/1362468/000136246820000017/algt202004218k.htm",""," ","","","publicly traded","ALGT","Nevada","USA","airlines","airlines","4363","0","0","","1299000","0","2003501","610000","57 to 1","$2,850,307","$50,047","0"
"Allegiant Air","Allegiant Air","20200421","loan","$0","$21,000,000","Treasury Department","Payroll Support Program","Allegiant announced it would receive a $21 million loan from the Treasury Department, representing part of up to $171.9 million in total federal assistance.","http://ir.allegiantair.com/news-releases/news-release-details/allegiant-announces-agreement-treasury-payroll-support-under",""," ","","","publicly traded","ALGT","Nevada","USA","airlines","airlines","4363","0","0","","1299000","0","2003501","610000","57 to 1","$2,850,307","$50,047","0"
"Allegra Arthritis Associates Pc","Allegra Arthritis Associates Pc","20200506","grant","$525,744","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alle-Kiski Medical Center","Alle-Kiski Medical Center","20200506","grant","$2,015,928","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allen County Kansas Hospital","Allen County Kansas Hospital","20200506","grant","$518,118","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Kansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allentown Specialty Hospital","Allentown Specialty Hospital","20200506","grant","$585,037","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allergy & Arthritis Associates","Allergy & Arthritis Associates","20200506","grant","$655,226","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allergy Arts Llp","Allergy Arts Llp","20200506","grant","$524,648","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ALLERGY PARTNERS PA","ALLERGY PARTNERS PA","20200506","grant","$1,100,779","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Cancer Specialists","Alliance Cancer Specialists","20200506","grant","$3,987,836","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Community Hospital","Alliance Community Hospital","20200506","grant","$1,257,339","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Health Operations Llc","Alliance Health Operations Llc","20200506","grant","$1,059,045","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Health Services Inc","Alliance Health Services Inc","20200506","grant","$984,510","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Home Health Care","Alliance Home Health Care","20200506","grant","$836,329","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Mexico","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Neurodiagnostics Llc","Alliance Neurodiagnostics Llc","20200506","grant","$1,743,760","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliance Physicians Inc","Alliance Physicians Inc","20200506","grant","$2,642,616","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alliant Dermatology Pa","Alliant Dermatology Pa","20200506","grant","$580,497","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allied Digestive Health Llc","Allied Digestive Health Llc","20200506","grant","$938,798","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allied Esports Entertainment Inc.","Allied Esports Entertainment Inc.","20200501","loan","$0","$907,129","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1708341/000121390020011250/ea121476-8k_alliedesports.htm",""," ","","","publicly traded","AESE","California","USA","entertainment","sports and entertainment","146","0","0","","0","0","0","0","","$795,940","$0","0"
"Allied Health Care Services","Allied Health Care Services","20200506","grant","$508,235","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allied Healthcare Products, Inc.","Allied Healthcare Products, Inc.","20200422","loan","$0","$2,375,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/874710/000110465920049720/tm2016527d1_8-k.htm",""," ","","","publicly traded","AHPI","Missouri","USA","medical equipment and supplies","respiratory products","181","0","0","","0","0","0","0","","$502,491","$0","0"
"Allied Services Institute Of Rehabilitation Medicine","Allied Services Institute Of Rehabilitation Medicine","20200506","grant","$1,324,234","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allied Services Skilled Nursing Center","Allied Services Skilled Nursing Center","20200506","grant","$767,595","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Allina Health System","Allina Health System","20200506","grant","$53,596,403","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Minnesota","USA","healthcare services","hospitals","0","0","0","","0","2988656","0","0","","$0","$0","0"
"Alpha Med Physicians Group Llc","Alpha Med Physicians Group Llc","20200506","grant","$1,741,621","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alphatec Holdings, Inc.","Alphatec Holdings, Inc.","20200423","loan","$0","$4,300,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1350653/000156459020018698/atec-8k_20200331.htm",""," ","","","publicly traded","ATEC","California","USA","medical equipment and supplies","spine surgery products","227","0","0","","0","0","0","0","","$7,960,105","$0","0"
"Altamed Health Services Corp","Altamed Health Services Corp","20200506","grant","$2,675,219","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Altercare Llc","Altercare Llc","20200506","grant","$1,314,577","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Altercare Of Palm Beach County Llc","Altercare Of Palm Beach County Llc","20200506","grant","$753,984","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alternate Solutions Homecare Of Dayton","Alternate Solutions Homecare Of Dayton","20200506","grant","$1,354,928","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Alton Memorial Hospital","Alton Memorial Hospital","20200506","grant","$3,000,443","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Altru Health System","Altru Health System","20200506","grant","$10,680,969","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","North Dakota","USA","healthcare services","healthcare services","0","0","0","","0","1492690","0","542111","","$0","$0","0"
"Amarillo Heart Group","Amarillo Heart Group","20200506","grant","$932,622","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Amber Court At Home Llc","Amber Court At Home Llc","20200506","grant","$561,196","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ambercare Home Health Care Corporation","Ambercare Home Health Care Corporation","20200506","grant","$529,065","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Mexico","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ambercare Hospice Inc","Ambercare Hospice Inc","20200506","grant","$2,005,523","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Mexico","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Amedisys, Inc.","Amedisys","20200410","grant","$96,000,000","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://www.sec.gov/ix?doc=/Archives/edgar/data/896262/000119312520109317/d917223d8k.htm",""," ","","","publicly traded","AMED","Louisiana","USA","healthcare services","home healthcare services","21300","0","8832634","","0","150000000","4677642","0","246.6 to 1","$12,835,547","$52,049","0"
"Amerathon Llc","Amerathon Llc","20200506","grant","$1,435,367","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Airlines","American Airlines","20200414","grant","$4,100,000,000","$0","Treasury Department","Payroll Support Program","American Airlines announced it would receive $5.8 billion in financial assistance, including a grant of $4.1 billion and a low-interest loan of $1.7 billion (listed separately). The company granted to Treasury warrants to purchase approximately 13.7 million shares of common stock.","http://news.aa.com/news/news-details/2020/American-Airlines-To-Receive-58-Billion-in-Payroll-Support-From-US-Department-of-the-Treasury-OPS-DIS-04/default.aspx",""," ","","","publicly traded","AAL","Texas","USA","airlines","airlines","133700","0","42826343","","72728542","22100000","79705372","5540000","195 to 1","$11,999,517","$61,527","0"
"American Airlines","American Airlines","20200414","loan","$0","$1,700,000,000","Treasury Department","Payroll Support Program","American Airlines announced it would receive $5.8 billion in financial assistance, including a low-interest loan of $1.7 billion and a grant of $4.1 billion (listed separately). The company granted to Treasury warrants to purchase approximately 13.7 million shares of common stock.","http://news.aa.com/news/news-details/2020/American-Airlines-To-Receive-58-Billion-in-Payroll-Support-From-US-Department-of-the-Treasury-OPS-DIS-04/default.aspx",""," ","","","publicly traded","AAL","Texas","USA","airlines","airlines","133700","0","42826343","","72728542","22100000","79705372","5540000","195 to 1","$11,999,517","$61,527","0"
"American Anesthesiology Associates Of Georgia Llc","American Anesthesiology Associates Of Georgia Llc","20200506","grant","$519,041","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Anesthesiology Of Michigan Pc","American Anesthesiology Of Michigan Pc","20200506","grant","$573,530","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Anesthesiology Of North Carolina Pllc","American Anesthesiology Of North Carolina Pllc","20200506","grant","$750,557","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Anesthesiology Of Tennessee Pc","American Anesthesiology Of Tennessee Pc","20200506","grant","$976,158","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Anesthesiology Of Virginia","American Anesthesiology Of Virginia","20200506","grant","$905,958","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Baptist Homes Of The Midwest","American Baptist Homes Of The Midwest","20200506","grant","$826,935","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Minnesota","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Health Associates Inc","American Health Associates Inc","20200506","grant","$1,058,794","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Health Corporation And Subsidiaries","American Health Corporation And Subsidiaries","20200506","grant","$615,566","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Alabama","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Homepatient","American Homepatient","20200506","grant","$608,740","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Homepatient.Inc","American Homepatient.Inc","20200506","grant","$1,302,396","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Mercy Home Care Llc","American Mercy Home Care Llc","20200506","grant","$1,280,486","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Multispecialty Group Inc","American Multispecialty Group Inc","20200506","grant","$606,815","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Oncologic Associates Of Michigan Pc","American Oncologic Associates Of Michigan Pc","20200506","grant","$573,796","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Oncologic Hospital","American Oncologic Hospital","20200506","grant","$8,154,274","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Oncology Partners Pa","American Oncology Partners Pa","20200506","grant","$6,136,547","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Hondros College Of Nursing","American Public Education Inc.","20200409","grant","$1,560,413","$0","Education Department","Higher Education Emergency Relief Fund (for-profits only)","Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf",""," ","","","publicly traded","APEI","West Virginia","USA","miscellaneous services","educational services","2900","0","0","","0","0","0","0","116 to 1","$3,162,404","$27,290","0"
"American Radiology Associates","American Radiology Associates","20200506","grant","$621,373","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Radiology Consultants Pllc","American Radiology Consultants Pllc","20200506","grant","$645,762","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"American Resources Corporation","American Resources Corporation","20200422","loan","$0","$2,700,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1590715/000165495420004431/arec_8k.htm",""," ","","","publicly traded","AREC","Indiana","USA","mining and minerals","coal mining","227","0","0","","0","0","430525","0","","$172,326","$0","0"
"American Virtual Cloud Technologies, Inc.","American Virtual Cloud Technologies, Inc.","20200413","loan","$0","$4,134,600","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1704760/000121390020010323/ea121129-s1_americanvirtual.htm",""," ","","","publicly traded","","Georgia","USA","information technology","IT solutions","184","0","0","","0","0","0","0","","$600,000","$0","0"
"Amerinac Holding Corp.","Amerinac Holding Corp.","20200423","loan","$0","$227,800","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/936446/000147793220002164/paos_8k.htm",""," ","","","publicly traded","PAOS","Ohio","USA","wholesalers","fastener distribution","84","0","0","","0","0","0","0","","$196,500","$0","0"
"Amery Regional Medical Center Inc","Amery Regional Medical Center Inc","20200506","grant","$1,235,171","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"AMITA Health Saint Joseph Medical Center Joliet (FKA Presence Saint Joseph Medical Center)","AMITA Health Saint Joseph Medical Center Joliet (FKA Presence Saint Joseph Medical Center)","20200508","grant","$10,633,280","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"AMITA Health Saint Mary and Elizabeth Medical Center Chicago - Saint Mary Campus (FKA Presence Saint Mary and Elizabeth Medical Center - Saint Mary Campus)","AMITA Health Saint Mary and Elizabeth Medical Center Chicago - Saint Mary Campus (FKA Presence Saint Mary and Elizabeth Medical Center - Saint Mary Campus)","20200508","grant","$12,772,120","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Illinois","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
